"","ano","juri","juri_nombre","sexo_codigo","sexo_nombre","edad","poblacion"
"196",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","10-14",3515301
"197",2013,"01","TOTAL DEL PAÍS","1","Varones","10-14",1794434
"198",2013,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1720867
"199",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3566154
"200",2013,"01","TOTAL DEL PAÍS","1","Varones","15-19",1807807
"201",2013,"01","TOTAL DEL PAÍS","2","Mujeres","15-19",1758347
"202",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","20-24",3489936
"203",2013,"01","TOTAL DEL PAÍS","1","Varones","20-24",1753346
"204",2013,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1736590
"205",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3250983
"206",2013,"01","TOTAL DEL PAÍS","1","Varones","25-29",1620530
"207",2013,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1630453
"208",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","30-34",3154430
"209",2013,"01","TOTAL DEL PAÍS","1","Varones","30-34",1564398
"210",2013,"01","TOTAL DEL PAÍS","2","Mujeres","30-34",1590032
"211",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","35-39",2975391
"212",2013,"01","TOTAL DEL PAÍS","1","Varones","35-39",1467827
"213",2013,"01","TOTAL DEL PAÍS","2","Mujeres","35-39",1507564
"214",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","40-44",2528895
"215",2013,"01","TOTAL DEL PAÍS","1","Varones","40-44",1240281
"216",2013,"01","TOTAL DEL PAÍS","2","Mujeres","40-44",1288614
"217",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","45-49",2259015
"218",2013,"01","TOTAL DEL PAÍS","1","Varones","45-49",1101131
"219",2013,"01","TOTAL DEL PAÍS","2","Mujeres","45-49",1157884
"220",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","50-54",2129572
"221",2013,"01","TOTAL DEL PAÍS","1","Varones","50-54",1029958
"222",2013,"01","TOTAL DEL PAÍS","2","Mujeres","50-54",1099614
"223",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","55-59",1949497
"224",2013,"01","TOTAL DEL PAÍS","1","Varones","55-59",932661
"225",2013,"01","TOTAL DEL PAÍS","2","Mujeres","55-59",1016836
"226",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","60-64",1727604
"227",2013,"01","TOTAL DEL PAÍS","1","Varones","60-64",811960
"228",2013,"01","TOTAL DEL PAÍS","2","Mujeres","60-64",915644
"229",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","65-69",1425598
"230",2013,"01","TOTAL DEL PAÍS","1","Varones","65-69",650505
"231",2013,"01","TOTAL DEL PAÍS","2","Mujeres","65-69",775093
"232",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","70-74",1095870
"233",2013,"01","TOTAL DEL PAÍS","1","Varones","70-74",476136
"234",2013,"01","TOTAL DEL PAÍS","2","Mujeres","70-74",619734
"235",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","75-79",828910
"236",2013,"01","TOTAL DEL PAÍS","1","Varones","75-79",333682
"237",2013,"01","TOTAL DEL PAÍS","2","Mujeres","75-79",495228
"238",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","80-84",579982
"239",2013,"01","TOTAL DEL PAÍS","1","Varones","80-84",209555
"240",2013,"01","TOTAL DEL PAÍS","2","Mujeres","80-84",370427
"241",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","85-89",328030
"242",2013,"01","TOTAL DEL PAÍS","1","Varones","85-89",102449
"243",2013,"01","TOTAL DEL PAÍS","2","Mujeres","85-89",225581
"244",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","90-94",128675
"245",2013,"01","TOTAL DEL PAÍS","1","Varones","90-94",34570
"246",2013,"01","TOTAL DEL PAÍS","2","Mujeres","90-94",94105
"247",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","95-99",28245
"248",2013,"01","TOTAL DEL PAÍS","1","Varones","95-99",5970
"249",2013,"01","TOTAL DEL PAÍS","2","Mujeres","95-99",22275
"250",2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","100 y más",5515
"251",2013,"01","TOTAL DEL PAÍS","1","Varones","100 y más",1081
"252",2013,"01","TOTAL DEL PAÍS","2","Mujeres","100 y más",4434
"253",2014,"01","TOTAL DEL PAÍS","0","Ambos sexos","0-4",3745299
"254",2014,"01","TOTAL DEL PAÍS","1","Varones","0-4",1927925
